Date,Good time to buy,Uncertain - depends,Bad time to buy,Relative,Value_3mon,Value_10yr,spread,USREC
1962-01,,,,,2.7195454545454543,4.083181818181818,1.3636363636363635,0.0
1962-02,,,,,2.7327777777777778,4.039444444444444,1.3066666666666666,0.0
1962-03,,,,,2.723181818181818,3.930454545454545,1.2072727272727273,0.0
1962-04,,,,,2.7295000000000003,3.843,1.1134999999999997,0.0
1962-05,,,,,2.685,3.8736363636363635,1.1886363636363635,0.0
1962-06,,,,,2.728095238095238,3.909047619047619,1.180952380952381,0.0
1962-07,,,,,2.921904761904762,4.014285714285714,1.0923809523809522,0.0
1962-08,,,,,2.8230434782608693,3.9756521739130433,1.152608695652174,0.0
1962-09,,,,,2.7757894736842106,3.978947368421052,1.2031578947368422,0.0
1962-10,,,,,2.7413636363636367,3.9254545454545453,1.1840909090909089,0.0
1962-11,,,,,2.8305263157894736,3.9157894736842107,1.085263157894737,0.0
1962-12,,,,,2.866,3.8645000000000005,0.9985000000000002,0.0
1963-01,,,,,2.908181818181818,3.833636363636364,0.9254545454545454,0.0
1963-02,,,,,2.921111111111111,3.921111111111111,1.0,0.0
1963-03,,,,,2.892857142857143,3.9285714285714284,1.0357142857142858,0.0
1963-04,,,,,2.8976190476190475,3.970952380952381,1.0733333333333335,0.0
1963-05,,,,,2.925,3.93,1.005,0.0
1963-06,,,,,2.9885,3.993,1.0045,0.0
1963-07,,,,,3.1763636363636363,4.0204545454545455,0.8440909090909089,0.0
1963-08,,,,,3.3222727272727273,4.002272727272727,0.6799999999999999,0.0
1963-09,,,,,3.3765,4.0775,0.701,0.0
1963-10,,,,,3.4495652173913043,4.106086956521739,0.6565217391304349,0.0
1963-11,,,,,3.5194117647058825,4.121764705882353,0.6023529411764708,0.0
1963-12,,,,,3.5190476190476194,4.128571428571429,0.6095238095238097,0.0
1964-01,,,,,3.5231818181818184,4.166818181818182,0.6436363636363637,0.0
1964-02,,,,,3.5305555555555554,4.145555555555556,0.615,0.0
1964-03,,,,,3.5438095238095237,4.2195238095238095,0.6757142857142858,0.0
1964-04,,,,,3.4713636363636367,4.232272727272727,0.760909090909091,0.0
