Date,housing market,Value,Good time to buy,Uncertain - depends,Bad time to buy,Relative,Value_3mon,Value_10yr,spread,USREC
1983-03,108.59290783953263,10.3,53.0,9.0,38.0,115.0,8.348695652173914,10.506521739130434,2.1578260869565216,0.0
1983-04,108.37751268683179,10.2,61.0,9.0,30.0,131.0,8.212,10.4,2.1879999999999997,0.0
1983-05,108.26340685118474,10.1,67.0,5.0,28.0,139.0,8.191904761904762,10.379999999999999,2.188095238095238,0.0
1983-06,108.46600305163798,10.1,66.0,9.0,25.0,141.0,8.792272727272728,10.848636363636363,2.056363636363636,0.0
1983-07,108.64856367615884,9.4,67.0,9.0,24.0,143.0,9.0805,11.376999999999999,2.2965,0.0
1983-08,108.80374674095616,9.5,64.0,12.0,24.0,140.0,9.343478260869565,11.846086956521738,2.502608695652174,0.0
1983-09,108.55249000699327,9.2,66.0,8.0,26.0,140.0,8.995238095238095,11.653809523809523,2.6585714285714284,0.0
1983-10,108.4355556354859,8.8,65.0,10.0,25.0,140.0,8.635,11.541,2.906,0.0
1983-11,108.36926111858165,8.5,64.0,10.0,26.0,138.0,8.76421052631579,11.690000000000001,2.9257894736842105,0.0
1983-12,108.54532674802266,8.3,61.0,12.0,27.0,134.0,8.996190476190476,11.82952380952381,2.8333333333333335,0.0
1984-01,108.22327295369459,8.0,73.0,9.0,18.0,155.0,8.903333333333332,11.674285714285714,2.770952380952381,0.0
1984-02,108.04170920443974,7.8,70.0,11.0,19.0,151.0,9.087894736842106,11.842105263157896,2.754210526315789,0.0
1984-03,108.32119555712556,7.8,72.0,9.0,19.0,153.0,9.516818181818183,12.319090909090908,2.8022727272727272,0.0
1984-04,108.39981368186854,7.7,71.0,10.0,19.0,152.0,9.693999999999999,12.6335,2.9395,0.0
1984-05,108.76819982418536,7.4,77.0,10.0,13.0,164.0,9.834090909090909,13.408636363636363,3.5745454545454547,0.0
1984-06,109.07874313960872,7.2,67.0,11.0,22.0,145.0,9.868095238095238,13.562857142857142,3.694761904761905,0.0
1984-07,109.25980560000077,7.5,71.0,10.0,19.0,152.0,10.115238095238094,13.362380952380953,3.247142857142857,0.0
1984-08,109.36372118132397,7.5,72.0,9.0,19.0,153.0,10.466521739130433,12.716086956521737,2.249565217391304,0.0
1984-09,109.16288205251128,7.3,72.0,10.0,18.0,154.0,10.368947368421052,12.522631578947369,2.1536842105263156,0.0
1984-10,109.05304783361561,7.4,70.0,10.0,20.0,150.0,9.736363636363636,12.160454545454543,2.424090909090909,0.0
1984-11,109.06930408760162,7.2,67.0,10.0,23.0,144.0,8.608421052631579,11.572631578947368,2.9642105263157896,0.0
1984-12,109.30705180214751,7.3,67.0,9.0,24.0,143.0,8.056999999999999,11.499500000000001,3.4425,0.0
1985-01,109.47707603963138,7.3,73.0,7.0,20.0,153.0,7.756190476190476,11.384285714285713,3.628095238095238,0.0
1985-02,109.4552348418724,7.2,75.0,8.0,17.0,158.0,8.265,11.508888888888889,3.243888888888889,0.0
1985-03,109.66515538208344,7.2,74.0,8.0,18.0,156.0,8.516666666666666,11.855238095238096,3.3385714285714285,0.0
1985-04,109.8908189771222,7.3,77.0,7.0,16.0,161.0,7.946666666666666,11.434761904761904,3.488095238095238,0.0
1985-05,110.3167121324288,7.2,72.0,8.0,20.0,152.0,7.479545454545455,10.84681818181818,3.367272727272727,0.0
1985-06,110.80258751025123,7.4,74.0,9.0,17.0,157.0,6.954000000000001,10.156,3.2020000000000004,0.0
1985-07,111.38899462334369,7.4,74.0,6.0,20.0,154.0,7.082727272727272,10.306818181818182,3.2240909090909096,0.0
1985-08,111.9514363177395,7.1,69.0,14.0,17.0,152.0,7.135,10.331818181818182,3.196818181818182,0.0
1985-09,112.36246765045416,7.1,73.0,9.0,18.0,155.0,7.099473684210525,10.373157894736842,3.2736842105263158,0.0
1985-10,112.5808699289465,7.1,69.0,10.0,21.0,148.0,7.161363636363637,10.236818181818181,3.075454545454545,0.0
1985-11,112.88348733505471,7.0,70.0,10.0,20.0,150.0,7.237368421052631,9.781578947368422,2.5442105263157893,0.0
1985-12,113.17465519716364,7.0,69.0,9.0,22.0,147.0,7.099523809523809,9.25904761904762,2.1595238095238094,0.0
1986-01,113.54427369749774,6.7,80.0,8.0,12.0,168.0,7.073809523809524,9.193809523809524,2.12,0.0
1986-02,114.52936038123654,7.2,78.0,8.0,14.0,164.0,7.064210526315789,8.704210526315789,1.64,0.0
1986-03,115.92298858062874,7.2,75.0,10.0,15.0,160.0,6.5605,7.778499999999999,1.2179999999999997,0.0
1986-04,117.20633946290032,7.1,75.0,10.0,15.0,160.0,6.056363636363637,7.29909090909091,1.242727272727273,0.0
1986-05,117.99360127197012,7.2,75.0,8.0,17.0,158.0,6.15,7.70952380952381,1.5595238095238095,0.0
1986-06,118.51560729211077,7.2,81.0,8.0,11.0,170.0,6.2090476190476185,7.7995238095238095,1.5904761904761904,0.0
1986-07,119.69392404721619,7.0,79.0,7.0,14.0,165.0,5.828636363636363,7.303181818181818,1.4745454545454544,0.0
1986-08,120.51143405607695,6.9,77.0,7.0,16.0,161.0,5.527142857142857,7.1657142857142855,1.6385714285714283,0.0
1986-09,120.85587928158387,7.0,76.0,9.0,15.0,161.0,5.20952380952381,7.447619047619048,2.238095238095238,0.0
1986-10,121.42334047116407,7.0,76.0,10.0,14.0,162.0,5.179545454545455,7.426363636363636,2.246818181818182,0.0
1986-11,121.91806170483585,6.9,72.0,11.0,17.0,155.0,5.349444444444445,7.250555555555555,1.901111111111111,0.0
1986-12,122.70622133763105,6.6,75.0,8.0,17.0,158.0,5.528181818181818,7.112727272727272,1.5845454545454545,0.0
1987-01,122.63805355197516,6.6,72.0,8.0,20.0,152.0,5.427,7.0845,1.6575,0.0
1987-02,122.96541874745655,6.6,73.0,7.0,20.0,153.0,5.593684210526316,7.2505263157894735,1.656842105263158,0.0
1987-03,123.05830188309385,6.6,71.0,10.0,19.0,152.0,5.591818181818182,7.248636363636364,1.656818181818182,0.0
1987-04,123.36195188425835,6.3,74.0,10.0,16.0,158.0,5.636190476190476,8.022857142857143,2.3866666666666667,0.0
1987-05,124.01349619481346,6.3,76.0,9.0,15.0,161.0,5.66,8.613,2.9530000000000003,0.0
1987-06,124.83954441854239,6.2,76.0,9.0,15.0,161.0,5.668181818181818,8.402272727272727,2.734090909090909,0.0
1987-07,125.57278562698711,6.1,76.0,10.0,14.0,162.0,5.692272727272727,8.44681818181818,2.7545454545454544,0.0
1987-08,125.81571645910078,6.0,74.0,9.0,17.0,157.0,6.036190476190477,8.76047619047619,2.724285714285714,0.0
1987-09,125.81795117196039,5.9,75.0,12.0,13.0,162.0,6.398095238095239,9.421904761904763,3.0238095238095237,0.0
1987-10,126.00835070162978,6.0,69.0,11.0,20.0,149.0,6.133333333333334,9.520000000000001,3.3866666666666667,0.0
1987-11,126.25145316365037,5.8,66.0,10.0,24.0,142.0,5.6947368421052635,8.860526315789473,3.1657894736842103,0.0
1987-12,126.72056195569624,5.7,69.0,9.0,22.0,147.0,5.767727272727273,8.987727272727271,3.22,0.0
1988-01,126.83398775355367,5.7,72.0,10.0,18.0,154.0,5.813684210526316,8.66578947368421,2.8521052631578945,0.0
1988-02,127.12021873392725,5.7,72.0,11.0,17.0,155.0,5.6605,8.212,2.5515,0.0
1988-03,127.32400286623867,5.7,71.0,14.0,15.0,156.0,5.70304347826087,8.373478260869565,2.670434782608696,0.0
1988-04,127.51946865509099,5.4,73.0,8.0,19.0,154.0,5.907,8.7185,2.8115,0.0
1988-05,128.21440854661915,5.6,79.0,7.0,14.0,165.0,6.257142857142857,9.08904761904762,2.8319047619047617,0.0
1988-06,128.8661116417365,5.4,74.0,15.0,11.0,163.0,6.459545454545454,8.921363636363637,2.461818181818182,0.0
1988-07,129.43828230004485,5.4,79.0,9.0,12.0,167.0,6.7284999999999995,9.056000000000001,2.3274999999999997,0.0
1988-08,129.79346995042818,5.6,74.0,12.0,14.0,160.0,7.062608695652174,9.260434782608696,2.1978260869565216,0.0
1988-09,129.62330861357725,5.4,71.0,15.0,14.0,157.0,7.23952380952381,8.977142857142857,1.7376190476190476,0.0
1988-10,129.6352049478892,5.4,73.0,12.0,15.0,158.0,7.3485,8.7955,1.4469999999999996,0.0
1988-11,129.95788102214775,5.3,73.0,10.0,17.0,156.0,7.76,8.9625,1.2025000000000001,0.0
1988-12,130.1221850355677,5.3,70.0,10.0,20.0,150.0,8.067142857142857,9.105714285714285,1.0385714285714287,0.0
1989-01,130.07469984765285,5.4,78.0,9.0,13.0,165.0,8.266,9.0915,0.8255000000000001,0.0
1989-02,130.15748893565626,5.2,71.0,12.0,17.0,154.0,8.530526315789475,9.168947368421053,0.6384210526315789,0.0
1989-03,130.18757701034534,5.0,72.0,12.0,16.0,156.0,8.815454545454545,9.357727272727272,0.5422727272727274,0.0
1989-04,130.1376139423318,5.2,75.0,8.0,17.0,158.0,8.647,9.1755,0.5284999999999997,0.0
1989-05,130.14325257582553,5.2,73.0,11.0,16.0,157.0,8.433181818181819,8.85909090909091,0.4259090909090913,0.0
1989-06,130.51659849460614,5.3,71.0,13.0,16.0,155.0,8.151363636363637,8.277272727272727,0.1259090909090906,0.0
1989-07,130.7952615638835,5.2,71.0,10.0,19.0,152.0,7.883,8.0185,0.13550000000000012,0.0
1989-08,130.9802914563251,5.2,73.0,10.0,17.0,156.0,7.899565217391304,8.112608695652174,0.21304347826086936,0.0
1989-09,130.8179220553744,5.3,75.0,11.0,14.0,161.0,7.7505,8.1905,0.4400000000000001,0.0
